SystemCodeNumber,Capacity,Occupancy,LastUpdated,occupancy_rate
BHMMBMMBX01,687,501,2016-10-06 16:04:23,0.7292576419213974
BHMNCPHST01,1200,593,2016-10-06 16:04:23,0.49416666666666664
BHMNCPLDH01,720,577,2016-10-06 16:04:23,0.8013888888888889
BHMNCPNHS01,500,395,2016-10-06 16:04:23,0.79
BHMNCPNST01,485,298,2016-10-06 16:04:23,0.6144329896907217
BHMNCPPLS01,450,98,2016-10-06 16:04:23,0.21777777777777776
BHMNCPRAN01,600,482,2016-10-06 16:04:23,0.8033333333333333
Broad Street,690,565,2016-10-06 16:04:23,0.8188405797101449
NIA Car Parks,1268,173,2016-10-06 16:04:23,0.13643533123028392
NIA South,788,173,2016-10-06 16:04:23,0.21954314720812182
Others-CCCPS105a,2009,1157,2016-10-06 16:04:23,0.5759084121453459
Others-CCCPS119a,2803,434,2016-10-06 16:04:23,0.15483410631466285
Others-CCCPS133,4675,1097,2016-10-06 16:04:23,0.2346524064171123
Others-CCCPS135a,3883,2542,2016-10-06 16:04:23,0.6546484676796291
Others-CCCPS202,2937,1123,2016-10-06 16:04:23,0.38236295539666326
Others-CCCPS8,1322,656,2016-10-06 16:04:23,0.4962178517397882
Others-CCCPS98,3103,973,2016-10-06 16:04:23,0.31356751530776666
Shopping,1920,1170,2016-10-06 16:04:23,0.609375
BHMBCCMKT01,577,129,2016-10-06 16:30:27,0.22357019064124783
BHMBCCPST01,317,158,2016-10-06 16:30:27,0.49842271293375395
BHMBCCSNH01,863,440,2016-10-06 16:30:27,0.5098493626882966
BHMBCCTHL01,387,247,2016-10-06 16:30:27,0.6382428940568475
BHMEURBRD01,470,347,2016-10-06 16:30:27,0.7382978723404255
BHMEURBRD02,220,153,2016-10-06 16:30:27,0.6954545454545454
BHMMBMMBX01,687,479,2016-10-06 16:30:27,0.6972343522561864
BHMNCPHST01,1200,521,2016-10-06 16:30:27,0.43416666666666665
BHMNCPLDH01,720,507,2016-10-06 16:30:27,0.7041666666666667
BHMNCPNHS01,500,342,2016-10-06 16:30:27,0.684
BHMNCPNST01,485,278,2016-10-06 16:30:27,0.5731958762886598
BHMNCPPLS01,450,97,2016-10-06 16:30:27,0.21555555555555556
BHMNCPRAN01,600,437,2016-10-06 16:30:27,0.7283333333333334
Broad Street,690,500,2016-10-06 16:30:27,0.7246376811594203
NIA Car Parks,1268,149,2016-10-06 16:30:27,0.11750788643533124
NIA South,788,150,2016-10-06 16:30:27,0.19035532994923857
Others-CCCPS105a,2009,1101,2016-10-06 16:30:27,0.5480338476854156
Others-CCCPS119a,2803,397,2016-10-06 16:30:27,0.1416339636104174
Others-CCCPS133,4675,1054,2016-10-06 16:30:27,0.22545454545454546
Others-CCCPS135a,3883,2247,2016-10-06 16:30:27,0.5786762812258563
Others-CCCPS202,2937,1025,2016-10-06 16:30:27,0.3489955737146748
Others-CCCPS8,1322,622,2016-10-06 16:30:27,0.47049924357034795
Others-CCCPS98,3103,907,2016-10-06 16:30:27,0.2922977763454721
Shopping,1920,1028,2016-10-06 16:30:27,0.5354166666666667
BHMNCPPLS01,450,44,2016-10-07 07:44:28,0.09777777777777778
BHMBCCMKT01,577,58,2016-10-07 08:03:27,0.10051993067590988
BHMBCCPST01,317,100,2016-10-07 08:03:27,0.31545741324921134
BHMBCCSNH01,863,163,2016-10-07 08:03:27,0.18887601390498263
BHMBCCTHL01,387,105,2016-10-07 08:03:27,0.2713178294573643
BHMEURBRD01,470,121,2016-10-07 08:03:27,0.2574468085106383
BHMEURBRD02,220,52,2016-10-07 08:03:27,0.23636363636363636
BHMMBMMBX01,687,423,2016-10-07 08:03:27,0.6157205240174672
BHMNCPHST01,1200,242,2016-10-07 08:03:27,0.20166666666666666
BHMNCPLDH01,720,345,2016-10-07 08:03:27,0.4791666666666667
BHMNCPNHS01,500,82,2016-10-07 08:03:27,0.164
BHMNCPNST01,485,240,2016-10-07 08:03:27,0.4948453608247423
BHMNCPRAN01,600,208,2016-10-07 08:03:27,0.3466666666666667
Broad Street,690,173,2016-10-07 08:03:27,0.25072463768115943
NIA Car Parks,1268,82,2016-10-07 08:03:27,0.06466876971608833
NIA South,788,69,2016-10-07 08:03:27,0.08756345177664974
Others-CCCPS105a,2009,813,2016-10-07 08:03:27,0.40467894474863114
Others-CCCPS119a,2803,189,2016-10-07 08:03:27,0.06742775597574027
Others-CCCPS133,4675,908,2016-10-07 08:03:27,0.19422459893048127
Others-CCCPS135a,3883,1040,2016-10-07 08:03:27,0.2678341488539789
Others-CCCPS202,2937,518,2016-10-07 08:03:27,0.17637044603336738
Others-CCCPS8,1322,390,2016-10-07 08:03:27,0.2950075642965204
Others-CCCPS98,3103,747,2016-10-07 08:03:27,0.24073477280051564
Shopping,1920,587,2016-10-07 08:03:27,0.30572916666666666
BHMNCPPLS01,450,48,2016-10-07 08:24:29,0.10666666666666667
BHMBCCMKT01,577,61,2016-10-07 08:30:27,0.10571923743500866
BHMBCCPST01,317,110,2016-10-07 08:30:27,0.3470031545741325
BHMBCCSNH01,863,227,2016-10-07 08:30:27,0.2630359212050985
BHMBCCTHL01,387,126,2016-10-07 08:30:27,0.32558139534883723
BHMEURBRD01,470,189,2016-10-07 08:30:27,0.4021276595744681
BHMEURBRD02,220,86,2016-10-07 08:30:27,0.39090909090909093
BHMMBMMBX01,687,443,2016-10-07 08:30:27,0.6448326055312955
BHMNCPHST01,1200,324,2016-10-07 08:30:27,0.27
BHMNCPLDH01,720,414,2016-10-07 08:30:27,0.575
BHMNCPNHS01,500,173,2016-10-07 08:30:27,0.346
BHMNCPNST01,485,254,2016-10-07 08:30:27,0.5237113402061856
BHMNCPRAN01,600,271,2016-10-07 08:30:27,0.45166666666666666
Broad Street,690,275,2016-10-07 08:30:27,0.39855072463768115
NIA Car Parks,1268,122,2016-10-07 08:30:27,0.09621451104100946
NIA South,788,101,2016-10-07 08:30:27,0.1281725888324873
Others-CCCPS105a,2009,871,2016-10-07 08:30:27,0.4335490293678447
Others-CCCPS119a,2803,250,2016-10-07 08:30:27,0.08919015340706386
Others-CCCPS133,4675,945,2016-10-07 08:30:27,0.2021390374331551
Others-CCCPS135a,3883,1409,2016-10-07 08:30:27,0.3628637651300541
Others-CCCPS202,2937,655,2016-10-07 08:30:27,0.223016683690841
Others-CCCPS8,1322,428,2016-10-07 08:30:27,0.3237518910741301
Others-CCCPS98,3103,821,2016-10-07 08:30:27,0.26458266194005803
Shopping,1920,738,2016-10-07 08:30:27,0.384375
BHMBCCMKT01,577,75,2016-10-07 09:04:13,0.12998266897746968
BHMBCCPST01,317,124,2016-10-07 09:04:13,0.3911671924290221
BHMBCCSNH01,863,358,2016-10-07 09:04:13,0.4148319814600232
BHMBCCTHL01,387,159,2016-10-07 09:04:13,0.4108527131782946
BHMEURBRD01,470,263,2016-10-07 09:04:13,0.5595744680851064
BHMEURBRD02,220,133,2016-10-07 09:04:13,0.6045454545454545
BHMMBMMBX01,687,501,2016-10-07 09:04:13,0.7292576419213974
BHMNCPHST01,1200,424,2016-10-07 09:04:13,0.35333333333333333
BHMNCPLDH01,720,476,2016-10-07 09:04:13,0.6611111111111111
BHMNCPNHS01,500,272,2016-10-07 09:04:13,0.544
BHMNCPNST01,485,274,2016-10-07 09:04:13,0.5649484536082474
BHMNCPPLS01,450,56,2016-10-07 09:04:13,0.12444444444444444
BHMNCPRAN01,600,351,2016-10-07 09:04:13,0.585
Broad Street,690,396,2016-10-07 09:04:13,0.5739130434782609
NIA Car Parks,1268,165,2016-10-07 09:04:13,0.13012618296529968
NIA South,788,153,2016-10-07 09:04:13,0.19416243654822335
Others-CCCPS105a,2009,990,2016-10-07 09:04:13,0.4927824788451966
Others-CCCPS119a,2803,326,2016-10-07 09:04:13,0.11630396004281128
Others-CCCPS133,4675,1031,2016-10-07 09:04:13,0.22053475935828876
Others-CCCPS135a,3883,1881,2016-10-07 09:04:13,0.48441926345609065
Others-CCCPS202,2937,829,2016-10-07 09:04:13,0.282260810350698
Others-CCCPS8,1322,489,2016-10-07 09:04:13,0.3698940998487141
Others-CCCPS98,3103,942,2016-10-07 09:04:13,0.30357718337093137
Shopping,1920,900,2016-10-07 09:04:13,0.46875
BHMBCCMKT01,577,103,2016-10-07 09:30:27,0.17850953206239167
BHMBCCPST01,317,137,2016-10-07 09:30:27,0.43217665615141954
BHMBCCSNH01,863,445,2016-10-07 09:30:27,0.5156431054461182
BHMBCCTHL01,387,183,2016-10-07 09:30:27,0.4728682170542636
BHMEURBRD01,470,294,2016-10-07 09:30:27,0.625531914893617
BHMEURBRD02,220,157,2016-10-07 09:30:27,0.7136363636363636
BHMMBMMBX01,687,531,2016-10-07 09:30:27,0.7729257641921398
BHMNCPHST01,1200,508,2016-10-07 09:30:27,0.42333333333333334
BHMNCPLDH01,720,505,2016-10-07 09:30:27,0.7013888888888888
BHMNCPNHS01,500,309,2016-10-07 09:30:27,0.618
BHMNCPNST01,485,283,2016-10-07 09:30:27,0.5835051546391753
BHMNCPPLS01,450,65,2016-10-07 09:30:27,0.14444444444444443
BHMNCPRAN01,600,382,2016-10-07 09:30:27,0.6366666666666667
Broad Street,690,451,2016-10-07 09:30:27,0.6536231884057971
NIA Car Parks,1268,187,2016-10-07 09:30:27,0.1474763406940063
NIA South,788,169,2016-10-07 09:30:27,0.21446700507614214
Others-CCCPS105a,2009,1062,2016-10-07 09:30:27,0.5286212045793928
Others-CCCPS119a,2803,372,2016-10-07 09:30:27,0.13271494826971103
Others-CCCPS133,4675,1079,2016-10-07 09:30:27,0.23080213903743316
Others-CCCPS135a,3883,2149,2016-10-07 09:30:27,0.5534380633530775
Others-CCCPS202,2937,917,2016-10-07 09:30:27,0.3122233571671774
Others-CCCPS8,1322,531,2016-10-07 09:30:27,0.4016641452344932
Others-CCCPS98,3103,1003,2016-10-07 09:30:27,0.323235578472446
Shopping,1920,1013,2016-10-07 09:30:27,0.5276041666666667
BHMBCCMKT01,577,128,2016-10-07 09:57:27,0.2218370883882149
BHMBCCPST01,317,147,2016-10-07 09:57:27,0.4637223974763407
BHMBCCSNH01,863,512,2016-10-07 09:57:27,0.593279258400927
BHMBCCTHL01,387,199,2016-10-07 09:57:27,0.5142118863049095
BHMEURBRD01,470,322,2016-10-07 09:57:27,0.6851063829787234
BHMEURBRD02,220,160,2016-10-07 09:57:27,0.7272727272727273
BHMMBMMBX01,687,569,2016-10-07 09:57:27,0.8282387190684134
BHMNCPHST01,1200,580,2016-10-07 09:57:27,0.48333333333333334
BHMNCPLDH01,720,545,2016-10-07 09:57:27,0.7569444444444444
BHMNCPNHS01,500,337,2016-10-07 09:57:27,0.674
BHMNCPNST01,485,302,2016-10-07 09:57:27,0.622680412371134
BHMNCPPLS01,450,77,2016-10-07 09:57:27,0.1711111111111111
BHMNCPRAN01,600,397,2016-10-07 09:57:27,0.6616666666666666
Broad Street,690,482,2016-10-07 09:57:27,0.6985507246376812
NIA Car Parks,1268,203,2016-10-07 09:57:27,0.16009463722397477
NIA South,788,178,2016-10-07 09:57:27,0.22588832487309646
Others-CCCPS105a,2009,1147,2016-10-07 09:57:27,0.5709308113489299
Others-CCCPS119a,2803,404,2016-10-07 09:57:27,0.1441312879058152
Others-CCCPS133,4675,1148,2016-10-07 09:57:27,0.24556149732620322
Others-CCCPS135a,3883,2371,2016-10-07 09:57:27,0.6106103528199845
Others-CCCPS202,2937,979,2016-10-07 09:57:27,0.3333333333333333
Others-CCCPS8,1322,578,2016-10-07 09:57:27,0.4372163388804841
Others-CCCPS98,3103,1076,2016-10-07 09:57:27,0.3467611988398324
Shopping,1920,1125,2016-10-07 09:57:27,0.5859375
BHMBCCMKT01,577,172,2016-10-07 10:30:27,0.29809358752166376
BHMBCCPST01,317,158,2016-10-07 10:30:27,0.49842271293375395
BHMBCCSNH01,863,555,2016-10-07 10:30:27,0.6431054461181923
BHMBCCTHL01,387,224,2016-10-07 10:30:27,0.5788113695090439
BHMEURBRD01,470,339,2016-10-07 10:30:27,0.7212765957446808
BHMEURBRD02,220,169,2016-10-07 10:30:27,0.7681818181818182
BHMMBMMBX01,687,606,2016-10-07 10:30:27,0.8820960698689956
BHMNCPHST01,1200,619,2016-10-07 10:30:27,0.5158333333333334
BHMNCPLDH01,720,567,2016-10-07 10:30:27,0.7875
BHMNCPNHS01,500,358,2016-10-07 10:30:27,0.716
BHMNCPNST01,485,309,2016-10-07 10:30:27,0.6371134020618556
BHMNCPPLS01,450,84,2016-10-07 10:30:27,0.18666666666666668
BHMNCPRAN01,600,417,2016-10-07 10:30:27,0.695
Broad Street,690,508,2016-10-07 10:30:27,0.736231884057971
NIA Car Parks,1268,220,2016-10-07 10:30:27,0.17350157728706625
NIA South,788,198,2016-10-07 10:30:27,0.2512690355329949
Others-CCCPS105a,2009,1223,2016-10-07 10:30:27,0.6087605774016924
Others-CCCPS119a,2803,447,2016-10-07 10:30:27,0.15947199429183018
Others-CCCPS133,4675,1199,2016-10-07 10:30:27,0.2564705882352941
Others-CCCPS135a,3883,2516,2016-10-07 10:30:27,0.6479526139582796
Others-CCCPS202,2937,1041,2016-10-07 10:30:27,0.35444330949948927
Others-CCCPS8,1322,617,2016-10-07 10:30:27,0.46671709531013617
Others-CCCPS98,3103,1138,2016-10-07 10:30:27,0.36674186271350306
Shopping,1920,1186,2016-10-07 10:30:27,0.6177083333333333
BHMBCCMKT01,577,188,2016-10-07 10:57:30,0.32582322357019067
BHMBCCPST01,317,169,2016-10-07 10:57:30,0.5331230283911672
BHMBCCSNH01,863,575,2016-10-07 10:57:30,0.6662804171494786
BHMBCCTHL01,387,246,2016-10-07 10:57:30,0.6356589147286822
BHMEURBRD01,470,351,2016-10-07 10:57:30,0.7468085106382979
BHMEURBRD02,220,177,2016-10-07 10:57:30,0.8045454545454546
BHMMBMMBX01,687,622,2016-10-07 10:57:30,0.9053857350800583
BHMNCPHST01,1200,656,2016-10-07 10:57:30,0.5466666666666666
BHMNCPLDH01,720,573,2016-10-07 10:57:30,0.7958333333333333
BHMNCPNHS01,500,365,2016-10-07 10:57:30,0.73
BHMNCPNST01,485,309,2016-10-07 10:57:30,0.6371134020618556
BHMNCPPLS01,450,88,2016-10-07 10:57:30,0.19555555555555557
BHMNCPRAN01,600,422,2016-10-07 10:57:30,0.7033333333333334
Broad Street,690,528,2016-10-07 10:57:30,0.7652173913043478
NIA Car Parks,1268,228,2016-10-07 10:57:30,0.17981072555205047
NIA South,788,209,2016-10-07 10:57:30,0.2652284263959391
Others-CCCPS105a,2009,1265,2016-10-07 10:57:30,0.6296665007466401
Others-CCCPS119a,2803,477,2016-10-07 10:57:30,0.17017481270067786
Others-CCCPS133,4675,1219,2016-10-07 10:57:30,0.26074866310160427
Others-CCCPS135a,3883,2591,2016-10-07 10:57:30,0.6672675766160185
Others-CCCPS202,2937,1083,2016-10-07 10:57:30,0.3687436159346272
Others-CCCPS8,1322,643,2016-10-07 10:57:30,0.4863842662632375
Others-CCCPS98,3103,1162,2016-10-07 10:57:30,0.37447631324524655
Shopping,1920,1229,2016-10-07 10:57:30,0.6401041666666667
BHMBCCMKT01,577,199,2016-10-07 11:30:28,0.34488734835355284
BHMBCCPST01,317,173,2016-10-07 11:30:28,0.5457413249211357
BHMBCCSNH01,863,596,2016-10-07 11:30:28,0.6906141367323291
BHMBCCTHL01,387,254,2016-10-07 11:30:28,0.6563307493540051
BHMEURBRD01,470,354,2016-10-07 11:30:28,0.7531914893617021
BHMEURBRD02,220,178,2016-10-07 11:30:28,0.8090909090909091
BHMMBMMBX01,687,643,2016-10-07 11:30:28,0.9359534206695779
BHMNCPHST01,1200,677,2016-10-07 11:30:28,0.5641666666666667
BHMNCPLDH01,720,573,2016-10-07 11:30:28,0.7958333333333333
BHMNCPNHS01,500,366,2016-10-07 11:30:28,0.732
BHMNCPNST01,485,304,2016-10-07 11:30:28,0.6268041237113402
BHMNCPPLS01,450,99,2016-10-07 11:30:28,0.22
BHMNCPRAN01,600,426,2016-10-07 11:30:28,0.71
Broad Street,690,532,2016-10-07 11:30:28,0.7710144927536232
NIA Car Parks,1268,233,2016-10-07 11:30:28,0.1837539432176656
NIA South,788,215,2016-10-07 11:30:28,0.27284263959390864
Others-CCCPS105a,2009,1300,2016-10-07 11:30:28,0.6470881035340965
Others-CCCPS119a,2803,490,2016-10-07 11:30:28,0.17481270067784516
Others-CCCPS133,4675,1246,2016-10-07 11:30:28,0.266524064171123
Others-CCCPS135a,3883,2638,2016-10-07 11:30:28,0.6793716198815349
Others-CCCPS202,2937,1090,2016-10-07 11:30:28,0.37112700034048346
Others-CCCPS8,1322,657,2016-10-07 11:30:28,0.4969742813918306
Others-CCCPS98,3103,1183,2016-10-07 11:30:28,0.3812439574605221
Shopping,1920,1250,2016-10-07 11:30:28,0.6510416666666666
BHMBCCMKT01,577,210,2016-10-07 12:03:29,0.36395147313691506
BHMBCCPST01,317,183,2016-10-07 12:03:29,0.5772870662460567
BHMBCCSNH01,863,607,2016-10-07 12:03:29,0.7033603707995365
BHMBCCTHL01,387,276,2016-10-07 12:03:29,0.7131782945736435
BHMEURBRD01,470,363,2016-10-07 12:03:29,0.7723404255319148
BHMEURBRD02,220,182,2016-10-07 12:03:29,0.8272727272727273
BHMMBMMBX01,687,660,2016-10-07 12:03:29,0.9606986899563319
BHMNCPHST01,1200,683,2016-10-07 12:03:29,0.5691666666666667
BHMNCPLDH01,720,573,2016-10-07 12:03:29,0.7958333333333333
BHMNCPNHS01,500,364,2016-10-07 12:03:29,0.728
BHMNCPNST01,485,315,2016-10-07 12:03:29,0.6494845360824743
BHMNCPPLS01,450,106,2016-10-07 12:03:29,0.23555555555555555
BHMNCPRAN01,600,432,2016-10-07 12:03:29,0.72
Broad Street,690,545,2016-10-07 12:03:29,0.7898550724637681
NIA Car Parks,1268,230,2016-10-07 12:03:29,0.18138801261829654
NIA South,788,223,2016-10-07 12:03:29,0.282994923857868
Others-CCCPS105a,2009,1357,2016-10-07 12:03:29,0.6754604280736685
Others-CCCPS119a,2803,509,2016-10-07 12:03:29,0.18159115233678202
Others-CCCPS133,4675,1281,2016-10-07 12:03:29,0.27401069518716575
Others-CCCPS135a,3883,2659,2016-10-07 12:03:29,0.6847798094257018
Others-CCCPS202,2937,1136,2016-10-07 12:03:29,0.38678924072182497
Others-CCCPS8,1322,697,2016-10-07 12:03:29,0.527231467473525
Others-CCCPS98,3103,1208,2016-10-07 12:03:29,0.38930067676442154
Shopping,1920,1256,2016-10-07 12:03:29,0.6541666666666667
BHMBCCMKT01,577,206,2016-10-07 12:30:28,0.35701906412478335
BHMBCCPST01,317,190,2016-10-07 12:30:28,0.5993690851735016
BHMBCCSNH01,863,612,2016-10-07 12:30:28,0.709154113557358
BHMBCCTHL01,387,274,2016-10-07 12:30:28,0.7080103359173127
BHMEURBRD01,470,362,2016-10-07 12:30:28,0.7702127659574468
BHMEURBRD02,220,182,2016-10-07 12:30:28,0.8272727272727273
BHMMBMMBX01,687,665,2016-10-07 12:30:28,0.9679767103347889
BHMNCPHST01,1200,681,2016-10-07 12:30:28,0.5675
BHMNCPLDH01,720,581,2016-10-07 12:30:28,0.8069444444444445
BHMNCPNHS01,500,368,2016-10-07 12:30:28,0.736
BHMNCPNST01,485,307,2016-10-07 12:30:28,0.6329896907216495
BHMNCPPLS01,450,115,2016-10-07 12:30:28,0.25555555555555554
BHMNCPRAN01,600,427,2016-10-07 12:30:28,0.7116666666666667
Broad Street,690,544,2016-10-07 12:30:28,0.7884057971014493
NIA Car Parks,1268,221,2016-10-07 12:30:28,0.17429022082018927
NIA South,788,222,2016-10-07 12:30:28,0.2817258883248731
Others-CCCPS105a,2009,1361,2016-10-07 12:30:28,0.6774514683922349
Others-CCCPS119a,2803,498,2016-10-07 12:30:28,0.1776667855868712
Others-CCCPS133,4675,1287,2016-10-07 12:30:28,0.2752941176470588
Others-CCCPS135a,3883,2669,2016-10-07 12:30:28,0.687355137780067
Others-CCCPS202,2937,1125,2016-10-07 12:30:28,0.3830439223697651
Others-CCCPS8,1322,696,2016-10-07 12:30:28,0.5264750378214826
Others-CCCPS98,3103,1196,2016-10-07 12:30:28,0.3854334514985498
Shopping,1920,1262,2016-10-07 12:30:28,0.6572916666666667
BHMBCCMKT01,577,200,2016-10-07 13:04:28,0.3466204506065858
BHMBCCPST01,317,190,2016-10-07 13:04:28,0.5993690851735016
BHMBCCSNH01,863,610,2016-10-07 13:04:28,0.7068366164542295
BHMBCCTHL01,387,286,2016-10-07 13:04:28,0.7390180878552972
BHMEURBRD01,470,360,2016-10-07 13:04:28,0.7659574468085106
BHMEURBRD02,220,180,2016-10-07 13:04:28,0.8181818181818182
BHMMBMMBX01,687,667,2016-10-07 13:04:28,0.9708879184861717
BHMNCPHST01,1200,682,2016-10-07 13:04:28,0.5683333333333334
BHMNCPLDH01,720,585,2016-10-07 13:04:28,0.8125
BHMNCPNHS01,500,369,2016-10-07 13:04:28,0.738
BHMNCPNST01,485,298,2016-10-07 13:04:28,0.6144329896907217
BHMNCPPLS01,450,115,2016-10-07 13:04:28,0.25555555555555554
BHMNCPRAN01,600,430,2016-10-07 13:04:28,0.7166666666666667
Broad Street,690,540,2016-10-07 13:04:28,0.782608695652174
NIA Car Parks,1268,222,2016-10-07 13:04:28,0.1750788643533123
NIA South,788,224,2016-10-07 13:04:28,0.28426395939086296
Others-CCCPS105a,2009,1366,2016-10-07 13:04:28,0.679940268790443
Others-CCCPS119a,2803,511,2016-10-07 13:04:28,0.18230467356403854
Others-CCCPS133,4675,1280,2016-10-07 13:04:28,0.2737967914438503
Others-CCCPS135a,3883,2676,2016-10-07 13:04:28,0.6891578676281226
Others-CCCPS202,2937,1124,2016-10-07 13:04:28,0.3827034388832142
Others-CCCPS8,1322,699,2016-10-07 13:04:28,0.5287443267776096
Others-CCCPS98,3103,1190,2016-10-07 13:04:28,0.3834998388656139
Shopping,1920,1267,2016-10-07 13:04:28,0.6598958333333333
BHMNCPNHS01,500,356,2016-10-07 13:24:29,0.712
BHMNCPNST01,485,286,2016-10-07 13:24:29,0.5896907216494846
BHMBCCMKT01,577,201,2016-10-07 13:30:29,0.3483535528596187
BHMBCCPST01,317,191,2016-10-07 13:30:29,0.6025236593059937
BHMBCCSNH01,863,598,2016-10-07 13:30:29,0.6929316338354577
BHMBCCTHL01,387,286,2016-10-07 13:30:29,0.7390180878552972
BHMEURBRD01,470,363,2016-10-07 13:30:29,0.7723404255319148
BHMEURBRD02,220,179,2016-10-07 13:30:29,0.8136363636363636
BHMMBMMBX01,687,653,2016-10-07 13:30:29,0.950509461426492
BHMNCPHST01,1200,679,2016-10-07 13:30:29,0.5658333333333333
BHMNCPLDH01,720,577,2016-10-07 13:30:29,0.8013888888888889
BHMNCPPLS01,450,114,2016-10-07 13:30:29,0.25333333333333335
BHMNCPRAN01,600,418,2016-10-07 13:30:29,0.6966666666666667
Broad Street,690,542,2016-10-07 13:30:29,0.7855072463768116
NIA Car Parks,1268,217,2016-10-07 13:30:29,0.17113564668769715
NIA South,788,218,2016-10-07 13:30:29,0.2766497461928934
Others-CCCPS105a,2009,1337,2016-10-07 13:30:29,0.6655052264808362
Others-CCCPS119a,2803,507,2016-10-07 13:30:29,0.1808776311095255
Others-CCCPS133,4675,1251,2016-10-07 13:30:29,0.2675935828877005
Others-CCCPS135a,3883,2623,2016-10-07 13:30:29,0.6755086273499872
Others-CCCPS202,2937,1112,2016-10-07 13:30:29,0.37861763704460333
Others-CCCPS8,1322,684,2016-10-07 13:30:29,0.5173978819969742
Others-CCCPS98,3103,1158,2016-10-07 13:30:29,0.37318723815662264
Shopping,1920,1256,2016-10-07 13:30:29,0.6541666666666667
BHMNCPNST01,485,279,2016-10-07 13:57:28,0.5752577319587628
BHMBCCMKT01,577,193,2016-10-07 14:03:28,0.3344887348353553
BHMBCCPST01,317,194,2016-10-07 14:03:28,0.61198738170347
BHMBCCSNH01,863,573,2016-10-07 14:03:28,0.6639629200463499
BHMBCCTHL01,387,286,2016-10-07 14:03:28,0.7390180878552972
BHMEURBRD01,470,367,2016-10-07 14:03:28,0.7808510638297872
BHMEURBRD02,220,178,2016-10-07 14:03:28,0.8090909090909091
BHMMBMMBX01,687,636,2016-10-07 14:03:28,0.925764192139738
BHMNCPHST01,1200,676,2016-10-07 14:03:28,0.5633333333333334
BHMNCPLDH01,720,569,2016-10-07 14:03:28,0.7902777777777777
BHMNCPNHS01,500,342,2016-10-07 14:03:28,0.684
BHMNCPPLS01,450,108,2016-10-07 14:03:28,0.24
BHMNCPRAN01,600,422,2016-10-07 14:03:28,0.7033333333333334
Broad Street,690,545,2016-10-07 14:03:28,0.7898550724637681
NIA Car Parks,1268,203,2016-10-07 14:03:28,0.16009463722397477
NIA South,788,203,2016-10-07 14:03:28,0.25761421319796957
Others-CCCPS105a,2009,1311,2016-10-07 14:03:28,0.6525634644101543
Others-CCCPS119a,2803,494,2016-10-07 14:03:28,0.17623974313235818
Others-CCCPS133,4675,1225,2016-10-07 14:03:28,0.2620320855614973
Others-CCCPS135a,3883,2582,2016-10-07 14:03:28,0.6649497810970899
Others-CCCPS202,2937,1112,2016-10-07 14:03:28,0.37861763704460333
Others-CCCPS8,1322,675,2016-10-07 14:03:28,0.510590015128593
Others-CCCPS98,3103,1125,2016-10-07 14:03:28,0.36255236867547536
Shopping,1920,1245,2016-10-07 14:03:28,0.6484375
BHMNCPNST01,485,281,2016-10-07 14:24:31,0.5793814432989691
BHMBCCMKT01,577,181,2016-10-07 14:30:32,0.31369150779896016
BHMBCCPST01,317,193,2016-10-07 14:30:32,0.6088328075709779
BHMBCCSNH01,863,556,2016-10-07 14:30:32,0.6442641946697567
BHMBCCTHL01,387,280,2016-10-07 14:30:32,0.7235142118863049
BHMEURBRD01,470,352,2016-10-07 14:30:32,0.7489361702127659
BHMEURBRD02,220,175,2016-10-07 14:30:32,0.7954545454545454
BHMMBMMBX01,687,616,2016-10-07 14:30:32,0.8966521106259098
BHMNCPHST01,1200,654,2016-10-07 14:30:32,0.545
BHMNCPLDH01,720,551,2016-10-07 14:30:32,0.7652777777777777
BHMNCPNHS01,500,324,2016-10-07 14:30:32,0.648
BHMNCPPLS01,450,107,2016-10-07 14:30:32,0.23777777777777778
BHMNCPRAN01,600,413,2016-10-07 14:30:32,0.6883333333333334
Broad Street,690,527,2016-10-07 14:30:32,0.763768115942029
NIA Car Parks,1268,185,2016-10-07 14:30:32,0.14589905362776026
NIA South,788,186,2016-10-07 14:30:32,0.23604060913705585
Others-CCCPS105a,2009,1284,2016-10-07 14:30:32,0.6391239422598307
Others-CCCPS119a,2803,470,2016-10-07 14:30:32,0.16767748840528005
Others-CCCPS133,4675,1204,2016-10-07 14:30:32,0.2575401069518717
Others-CCCPS135a,3883,2498,2016-10-07 14:30:32,0.6433170229204224
Others-CCCPS202,2937,1088,2016-10-07 14:30:32,0.3704460333673817
Others-CCCPS8,1322,668,2016-10-07 14:30:32,0.5052950075642966
Others-CCCPS98,3103,1087,2016-10-07 14:30:32,0.3503061553335482
Shopping,1920,1205,2016-10-07 14:30:32,0.6276041666666666
BHMBCCMKT01,577,172,2016-10-07 15:04:30,0.29809358752166376
BHMBCCPST01,317,180,2016-10-07 15:04:30,0.5678233438485805
BHMBCCSNH01,863,492,2016-10-07 15:04:30,0.5701042873696408
BHMBCCTHL01,387,260,2016-10-07 15:04:30,0.6718346253229974
BHMEURBRD01,470,347,2016-10-07 15:04:30,0.7382978723404255
BHMEURBRD02,220,168,2016-10-07 15:04:30,0.7636363636363637
BHMMBMMBX01,687,598,2016-10-07 15:04:30,0.8704512372634643
BHMNCPHST01,1200,634,2016-10-07 15:04:30,0.5283333333333333
BHMNCPLDH01,720,546,2016-10-07 15:04:30,0.7583333333333333
